date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2023-08-05,Ireland,Italy,33,17,2023 Rugby World Cup warm-up match,Aviva Stadium,Dublin,Ireland,False,False
2023-08-12,England,Wales,19,17,2023 Summer Nations Series,Twickenham,London,England,False,False
2023-08-12,France,Scotland,30,27,2023 Rugby World Cup warm-up match,Stade Geoffroy-Guichard,Saint-Étienne,France,False,False
2023-08-19,Wales,South Africa,16,52,2023 Rugby World Cup warm-up match,Millennium Stadium,Cardiff,Wales,False,False
2023-08-19,Ireland,England,29,10,2023 Rugby World Cup warm-up match,Aviva Stadium,Dublin,Ireland,False,False
2023-08-25,South Africa,New Zealand,35,7,2023 Rugby World Cup warm-up match,Twickenham Stadium,London,England,True,False
2023-08-27,France,Australia,41,17,2023 Rugby World Cup warm-up match,Stade de France,Saint-Denis,France,False,False
2023-09-08,France,New Zealand,27,13,2023 Rugby World Cup,Stade de France,Saint-Denis,France,False,True
2023-09-09,England,Argentina,27,10,2023 Rugby World Cup,Stade Vélodrome,Marseille,France,True,True
2023-09-10,South Africa,Scotland,18,3,2023 Rugby World Cup,Stade Vélodrome,Marseille,France,True,True
2023-09-23,South Africa,Ireland,8,13,2023 Rugby World Cup,Stade de France,Saint-Denis,France,True,True
2023-09-24,Wales,Australia,40,6,2023 Rugby World Cup,Parc Olympique,Lyon,France,True,True
2023-09-29,New Zealand,Italy,96,17,2023 Rugby World Cup,Stade de France,Saint-Denis,France,True,True
2023-10-06,France,Italy,60,7,2023 Rugby World Cup,Stade de France,Saint-Denis,France,True,True
2023-10-14,Wales,Argentina,17,29,2023 Rugby World Cup,Stade de France,Saint-Denis,France,True,True
2023-10-14,New Zealand,Ireland,28,24,2023 Rugby World Cup,Stade de France,Saint-Denis,France,True,True
2023-10-15,France,South Africa,28,29,2023 Rugby World Cup,Stade de France,Saint-Denis,France,True,True
